country_code,country,year,gini
SWE,Sweden,2000,0.243
SWE,Sweden,1995,0.211
SWE,Sweden,1991,0.209
SWE,Sweden,1983,0.198
NOR,Norway,2011,0.25
DNK,Denmark,2011,0.2505
CAN,Canada,2023,0.305999994277954
CAN,Canada,1995,0.293374639
CAN,Canada,1994,0.291137711
CAN,Canada,1993,0.290296338
USA,United States,2023,0.3944025
DEU,Germany,2022,0.309150010347366
FRA,France,2023,0.29899999499321
DEU,Germany,2020,0.30256
DEU,Germany,2019,0.2959
DEU,Germany,2018,0.28934
DEU,Germany,2017,0.28916
DEU,Germany,2016,0.29441
DEU,Germany,2015,0.29318
DEU,Germany,2014,0.2887
DEU,Germany,2013,0.29215
DEU,Germany,2012,0.2888
DEU,Germany,2011,0.2905
DEU,Germany,2008,0.28473
DNK,Denmark,2022,0.276399999856949
DNK,Denmark,2021,0.272899985313416
DNK,Denmark,2020,0.269199997186661
DNK,Denmark,2019,0.2678
DNK,Denmark,2018,0.2632
DNK,Denmark,2016,0.2609
DNK,Denmark,2015,0.2633
DNK,Denmark,2014,0.2561
DNK,Denmark,2013,0.2539
DNK,Denmark,2012,0.2488
AUS,Australia,2012,0.326
SWE,Sweden,2022,0.29
FRA,France,2022,0.297
CAN,Canada,2022,0.3
AUS,Australia,2020,0.319
USA,United States,2022,0.3961
USA,United States,2021,0.3752
USA,United States,2020,0.3773
USA,United States,2019,0.3949
USA,United States,2018,0.3927
USA,United States,2017,0.3899
USA,United States,2016,0.39123223
USA,United States,2015,0.38955993
USA,United States,2014,0.39381632
USA,United States,2013,0.3959848
GBR,United Kingdom,2023,0.36703035235405
GBR,United Kingdom,2022,0.364765613
GBR,United Kingdom,2021,0.354064263
GBR,United Kingdom,2015,0.360156422
GBR,United Kingdom,2014,0.356090734
GBR,United Kingdom,2012,0.351452428
GBR,United Kingdom,2011,0.353700293
GBR,United Kingdom,2010,0.350878657
GBR,United Kingdom,2009,0.373940635
GBR,United Kingdom,2008,0.368516703
GBR,United Kingdom,2007,0.372697091
GBR,United Kingdom,2006,0.364430407
GBR,United Kingdom,2005,0.358875003
GBR,United Kingdom,2004,0.353784532
GBR,United Kingdom,2003,0.353240734
GBR,United Kingdom,2002,0.358833005
SWE,Sweden,2023,0.289000004529953
SWE,Sweden,2017,0.28183
NOR,Norway,2022,0.26233
NOR,Norway,2021,0.28508
NOR,Norway,2019,0.26127
NOR,Norway,2018,0.26208
NOR,Norway,2017,0.26154
NOR,Norway,2016,0.26208
NOR,Norway,2015,0.27192
NOR,Norway,2012,0.25252
NOR,Norway,2011,0.24962
NOR,Norway,2010,0.24858
NOR,Norway,2009,0.2449
NOR,Norway,2004,0.2853
DEU,Germany,2021,0.312539994716644
NOR,Norway,2010,0.249
NOR,Norway,2009,0.245
NOR,Norway,2008,0.25
NOR,Norway,2004,0.276
NOR,Norway,2000,0.261
NOR,Norway,1995,0.243
NOR,Norway,1986,0.222
DEU,Germany,2011,0.293
DEU,Germany,2010,0.286
DEU,Germany,2009,0.288
DEU,Germany,2008,0.287
DEU,Germany,2007,0.295
DEU,Germany,2006,0.29
DEU,Germany,2005,0.297
DEU,Germany,2004,0.285
DEU,Germany,2003,0.282
DEU,Germany,2002,0.28
DEU,Germany,2001,0.27
DEU,Germany,2000,0.264
DEU,Germany,1999,0.259
DEU,Germany,1998,0.259
DEU,Germany,1997,0.259
DEU,Germany,1996,0.26
DEU,Germany,1995,0.266
DEU,Germany,1994,0.268
DEU,Germany,1993,0.262
DEU,Germany,1992,0.263
DEU,Germany,1990,0.256
DEU,Germany,1985,0.251
FRA,France,2011,0.309
FRA,France,2010,0.303
FRA,France,2009,0.293
FRA,France,2008,0.293
FRA,France,2007,0.292
FRA,France,2006,0.293
FRA,France,2005,0.288
FRA,France,2004,0.283
FRA,France,2003,0.282
FRA,France,2002,0.284
FRA,France,2001,0.287
FRA,France,2000,0.287
FRA,France,1999,0.284
FRA,France,1998,0.276
FRA,France,1997,0.278
FRA,France,1996,0.277
DNK,Denmark,2011,0.253
DNK,Denmark,2010,0.252
DNK,Denmark,2009,0.238
DNK,Denmark,2008,0.242
DNK,Denmark,2007,0.246
DNK,Denmark,2006,0.239
DNK,Denmark,2005,0.232
DNK,Denmark,2000,0.227
DNK,Denmark,1999,0.228
DNK,Denmark,1998,0.224
DNK,Denmark,1997,0.224
DNK,Denmark,1996,0.216
DNK,Denmark,1995,0.215
DNK,Denmark,1994,0.216
DNK,Denmark,1993,0.223
DNK,Denmark,1992,0.222
DNK,Denmark,1991,0.222
DNK,Denmark,1990,0.226
DNK,Denmark,1989,0.22
DNK,Denmark,1988,0.224
DNK,Denmark,1987,0.225
DNK,Denmark,1986,0.224
DNK,Denmark,1985,0.221
AUS,Australia,2012,0.324
AUS,Australia,2010,0.334
AUS,Australia,2008,0.336
AUS,Australia,2004,0.315
AUS,Australia,2000,0.317
AUS,Australia,1995,0.309
GBR,United Kingdom,2020,0.355
GBR,United Kingdom,2019,0.366
GBR,United Kingdom,2018,0.366
GBR,United Kingdom,2017,0.357
GBR,United Kingdom,2016,0.351
GBR,United Kingdom,2013,0.358
SWE,Sweden,2021,0.286
SWE,Sweden,2020,0.276
SWE,Sweden,2019,0.277
SWE,Sweden,2018,0.273
SWE,Sweden,2016,0.28
SWE,Sweden,2015,0.276
SWE,Sweden,2014,0.272
SWE,Sweden,2013,0.267
NOR,Norway,2020,0.263
NOR,Norway,2014,0.257
NOR,Norway,2013,0.252
NOR,Norway,2008,0.25
FRA,France,2021,0.298
FRA,France,2020,0.278
DNK,Denmark,2017,0.264
AUS,Australia,2018,0.325
AUS,Australia,2016,0.33
AUS,Australia,2014,0.337
CAN,Canada,2021,0.292
CAN,Canada,2020,0.28
CAN,Canada,2019,0.3
CAN,Canada,2018,0.304
CAN,Canada,2017,0.31
CAN,Canada,2016,0.307
CAN,Canada,2015,0.318
CAN,Canada,2014,0.312
CAN,Canada,2013,0.319
CAN,Canada,2012,0.317
CAN,Canada,2011,0.316
CAN,Canada,2011,0.313
CAN,Canada,2010,0.316
CAN,Canada,2010,0.319
CAN,Canada,2009,0.32
CAN,Canada,2009,0.316
CAN,Canada,2008,0.315
CAN,Canada,2008,0.321
CAN,Canada,2007,0.318
CAN,Canada,2007,0.317
CAN,Canada,2006,0.316
CAN,Canada,2006,0.317
CAN,Canada,2005,0.317
CAN,Canada,2005,0.315
CAN,Canada,2004,0.321
CAN,Canada,2004,0.322
CAN,Canada,2003,0.316
CAN,Canada,2003,0.315
CAN,Canada,2002,0.317
CAN,Canada,2002,0.318
CAN,Canada,2001,0.317
CAN,Canada,2001,0.317
CAN,Canada,2000,0.315
CAN,Canada,2000,0.315
CAN,Canada,1999,0.307
CAN,Canada,1999,0.308
CAN,Canada,1998,0.31
CAN,Canada,1998,0.307
CAN,Canada,1997,0.301
CAN,Canada,1997,0.304
CAN,Canada,1996,0.301
CAN,Canada,1996,0.297
CAN,Canada,1995,0.289
CAN,Canada,1994,0.287
CAN,Canada,1993,0.286
CAN,Canada,1992,0.296
CAN,Canada,1992,0.292
CAN,Canada,1991,0.294
CAN,Canada,1991,0.296
CAN,Canada,1990,0.289
CAN,Canada,1990,0.287
CAN,Canada,1989,0.282
CAN,Canada,1989,0.284
CAN,Canada,1988,0.286
CAN,Canada,1988,0.284
CAN,Canada,1987,0.289
CAN,Canada,1987,0.291
CAN,Canada,1986,0.293
CAN,Canada,1986,0.292
CAN,Canada,1985,0.293
CAN,Canada,1985,0.294
CAN,Canada,1984,0.297
CAN,Canada,1984,0.296
CAN,Canada,1983,0.299
CAN,Canada,1983,0.3
CAN,Canada,1982,0.292
CAN,Canada,1982,0.291
CAN,Canada,1981,0.287
CAN,Canada,1981,0.288
CAN,Canada,1980,0.289
CAN,Canada,1980,0.289
USA,United States,2012,0.389
USA,United States,2011,0.389
USA,United States,2010,0.38
USA,United States,2009,0.379
USA,United States,2008,0.378
USA,United States,2007,0.376
USA,United States,2006,0.384
USA,United States,2005,0.38
USA,United States,2004,0.36
USA,United States,2003,0.374
USA,United States,2002,0.376
USA,United States,2001,0.36
USA,United States,2000,0.357
USA,United States,1999,0.354
USA,United States,1998,0.357
USA,United States,1997,0.364
USA,United States,1996,0.363
USA,United States,1995,0.361
USA,United States,1994,0.366
USA,United States,1993,0.369
GBR,United Kingdom,2010,0.341
GBR,United Kingdom,2009,0.345
GBR,United Kingdom,2008,0.342
GBR,United Kingdom,2007,0.341
GBR,United Kingdom,2006,0.339
GBR,United Kingdom,2005,0.335
GBR,United Kingdom,2004,0.331
GBR,United Kingdom,2003,0.335
GBR,United Kingdom,2002,0.335
GBR,United Kingdom,2001,0.34
GBR,United Kingdom,2000,0.352
GBR,United Kingdom,1999,0.34
GBR,United Kingdom,1994,0.337
GBR,United Kingdom,1990,0.355
GBR,United Kingdom,1985,0.309
SWE,Sweden,2011,0.273
SWE,Sweden,2010,0.269
SWE,Sweden,2009,0.269
SWE,Sweden,2008,0.259
SWE,Sweden,2004,0.234
